ID,Title,Author,Year Published,Movie ID
0,Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,0
1,Harry Potter and the Chamber of Secrets,J.K. Rowling,1998,1
2,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999,2
3,Harry Potter and the Goblet of Fire,J.K. Rowling,2000,3
4,Harry Potter and the Order of the Phoenix,J.K. Rowling,2003,4
5,Harry Potter and the Half-Blood Prince,J.K. Rowling,2005,5
6,Harry Potter and the Deathly Hallows Parts 1 & 2,J.K. Rowling,2007,6
7,The Godfather,Mario Puzo,1969,7
8,The Color Purple,Alice Walker,1982,8
9,The Wizard of Oz,L. Frank Baum,1900,9
10,To Kill a Mockingbird,Harper Lee,1960,10
11,Forrest Gump,Winston Groom,1986,11
12,The Remains of the Day,Kazuo Ishiguro,1989,12
13,Doctor Zhivago,Boris Pasternak,1957,13
14,The Princess Bride,William Goldman,1973,14
15,Schindler's List,Thomas Keneally,1982,15
16,Great Expectations,Charles Dickens,1860,16
17,The Lord of the Rings: The Fellowship of the Ring,J. R. R. Tolkien,1954,17
18,The Lord of the Rings: The Two Towers,J. R. R. Tolkien,1954,18
19,The Lord of the Rings: The Return of the King,J. R. R. Tolkien,1955,19
20,The Hobbit,J. R. R. Tolkien,1937,20
21,The Shawshank Redemption,Stephen King,1982,21
22,No Country for Old Men,Cormac McCarthy,2005,22
23,Wiseguy,Nicholas Pileggi,1985,23
24,Fight Club,Chuck Palahniuk,1996,24
25,Not After Midnight,Daphne du Maurier,1971,25
26,The Silence of the Lambs,Thomas Harris,1988,26
27,The Exorcist,William Peter Blatty,1971,27
28,Room,Emma Donoghue,2010,28
29,Psycho,Robert Bloch,1959,29
